first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;615;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;70;110;;;;;;;;;;;;;;doesn't say;;01.09.2011;10709;30.09.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;616;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;34;107;;;;;;;;;;;;;;doesn't say;;01.10.2011;10709;31.10.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;617;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;46;156;;;;;;;;;;;;;;doesn't say;;01.11.2011;10709;30.11.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;618;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;52;140;;;;;;;;;;;;;;doesn't say;;01.12.2011;10709;31.12.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Sharma, SN;35;56;India, Uttar Pradesh, Bareilly district;619;Impact of DDT spraying on malaria transmission in Bareilly District, Uttar Pradesh, India;2005;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;75;;1818;;;;;doesn't say;;01.07.2001;31.08.2001;1818;;WAHR;vector;DDT spraying two rounds one aug/sep the second nov/dec, dont know if any spraying happened the year before, if it did, then not mentioned, but 'control' villages were also sprayed by state health authorities, so could have happened before);;;;;;;;;95.3% of houses sprayed and second round 87%;;;;;;;;;20.08.2001;07.09.2001;;;;;;;;;;;;;;;;;WAHR;;none found;in study treated with chloroquine when ill at collection (so assume not chloroquine resitant area), Pf: CQ and PQ one dose, Pv: CQ and 5 days PQ (according to Anvikar et al.);;long;8;;1.0;NA;wet;;NA;all ages;yes, used six villages but call it cluster of village? So maybe similar;no, or not mentioned;6;FALSCH;none found;28.486939;79.44035;observational;0.454;0.008;low;;;;low;;;
Sharma, SN;35;56;India, Uttar Pradesh, Bareilly district;620;Impact of DDT spraying on malaria transmission in Bareilly District, Uttar Pradesh, India;2005;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;32;;1634;;;;;doesn't say;;01.10.2001;30.11.2001;1634;;WAHR;vector;DDT spraying two rounds one aug/sep the second nov/dec, dont know if any spraying happened the year before, if it did, then not mentioned, but 'control' villages were also sprayed by state health authorities, so could have happened before);;;;;;;;;95.3% of houses sprayed and second round 87%;;;;;;;;;20.08.2001;07.09.2001;;;;;;;;;;;;;;;;;WAHR;;none found;in study treated with chloroquine when ill at collection (so assume not chloroquine resitant area), Pf: CQ and PQ one dose, Pv: CQ and 5 days PQ (according to Anvikar et al.);;long;8;;1.0;NA;dry;;NA;all ages;yes, used six villages but call it cluster of village? So maybe similar;no, or not mentioned;6;FALSCH;none found;28.486939;79.44035;observational;0.454;0.008;low;;;;low;;;
Sharma, SN;35;56;India, Uttar Pradesh, Bareilly district;621;Impact of DDT spraying on malaria transmission in Bareilly District, Uttar Pradesh, India;2005;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;;827;;;;;doesn't say;;01.03.2002;31.03.2002;827;;WAHR;vector;DDT spraying two rounds one aug/sep the second nov/dec, dont know if any spraying happened the year before, if it did, then not mentioned, but 'control' villages were also sprayed by state health authorities, so could have happened before);;;;;;;;;95.3% of houses sprayed and second round 87%;;;;;;;;;20.08.2001;07.09.2001;;;;;;;;;;;;;;;;;WAHR;;none found;in study treated with chloroquine when ill at collection (so assume not chloroquine resitant area), Pf: CQ and PQ one dose, Pv: CQ and 5 days PQ (according to Anvikar et al.);;long;8;;1.0;NA;dry;;NA;all ages;yes, used six villages but call it cluster of village? So maybe similar;no, or not mentioned;6;FALSCH;none found;28.486939;79.44035;observational;0.518;0.018;low;;;;low;;;
Chaves, Luis Fernando;36;57;Vanuatu;622;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;5620;21566;;;;;;;;;;;;;;doesn't say;;01.01.1983;between 120000 and 130000 people at risk;31.12.1983;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;623;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;8027;18799;;;;;;;;;;;;;;doesn't say;;01.01.1984;a it below 130000 people at risk;31.12.1984;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;624;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;7489;18300;;;;;;;;;;;;;;doesn't say;;01.01.1985;around 130000 people at risk;31.12.1985;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;625;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;6380;17765;;;;;;;;;;;;;;doesn't say;;01.01.1986;around 130000 people at risk;31.12.1986;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;626;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;8044;20402;;;;;;;;;;;;;;doesn't say;;01.01.1987;around 135000 people at risk;31.12.1987;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;627;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;6811;18236;;;;;;;;;;;;;;doesn't say;;01.01.1988;around 140000 people at risk;31.12.1988;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;628;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;8742;16819;;;;;;;;;;;;;;doesn't say;;01.01.1989;around 140000 people at risk;31.12.1989;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;629;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;10568;18086;;;;;;;;;;;;;;doesn't say;;01.01.1990;around 145000 people at risk;31.12.1990;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;630;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;7673;13136;;;;;;;;;;;;;;doesn't say;;01.01.1991;ariound 150000 people at risk;31.12.1991;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;631;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;5574;7019;;;;;;;;;;;;;;doesn't say;;01.01.1992;around 155000 people at risk;31.12.1992;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;632;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;4335;7300;;;;;;;;;;;;;;doesn't say;;01.01.1993;around 160000 people at risk;31.12.1993;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;633;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;2477;2934;;;;;;;;;;;;;;doesn't say;;01.01.1994;around 160000 people at risk;31.12.1994;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;634;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;3298;10565;;;;;;;;;;;;;;doesn't say;;01.01.1995;around 165000 people at risk;31.12.1995;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
Chaves, Luis Fernando;36;57;Vanuatu;635;Malaria transmission pattern resilience to climatic variabiltiy is mediated by insecitice treated nets;2008;WAHR;WAHR;fever or history of fever and confirmed by LM, records from health centers;microscopy;1647;3136;;;;;;;;;;;;;;doesn't say;;01.01.1996;around 170000 people at risk;31.12.1996;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;ITN (some already distributde before but only low coverage, so first time?);second ITN distribution;;;;;;;;around 25% covered afterwards;around 50% of population covered afterwards;;;;;;;;01.01.1992;31.12.1992;01.01.1995;31.12.1995;;;;;;;;;;;;;;;FALSCH;from figure 3 in chaves;IRS was done before ITNs were introduced but then abandoned;chloroquine and pyrimethamine/sulfadoxine accroding to Kaneko 1998;;frequent;12;;0.4;both;NA;;all ages;NA;yes because looks at the whole archipelago;no, or not mentioned;missing;FALSCH;none found;-15.418504;166.980579;observational;3.381;6.156;low;low;;;low;low;;
